Церковь Николая Чудотворца в Троекурове;+7 (499) 792-77-19;;Рябиновая ул., 24А, Москва;troekurovo.moseparh.ru;55.703 37.411;church
Храм Спаса Нерукотворного Образа на Сетуни;+7 (495) 440-68-35;;Рябиновая улица, 18;spas-setun.ru;55.710 37.419;church
Храм священномученика Игнатия Богоносца;;+7 (916) 717-72-27;Верейская ул., вл11, Москва;bogonosec.ru;55.710 37.449;church
Храм Воскресения Словущего в Даниловской Слободе;+7 (495) 952-02-01;+7 (985) 391-30-19;Средний Староданиловский переулок, 3 ст1;hramvs.ru;55.710 37.630;church
Храм Серафима Саровского в Даниловском монастыре;+7 (499) 764-78-47, +7 (499) 764-78-25, +7 (495) 952-72-41, +7 (495) 952-34-08, +7 (495) 955-67-90, +7 (495) 955-63-52, +7 (495) 954-15-16, +7 (495) 955-67-07;+7 (926) 128-45-25, +7 (926) 927-21-28, +7 (926) 436-01-35, +7 (958) 802-92-24, +7 (916) 316-35-57, +7 (985) 228-32-76;Даниловский Вал улица, 22 ст4;msdm.ru;55.711 37.630;church
Храм Рождества Пресвятой Богородицы в Старом Симонове;+7 (495) 488-70-11, +7 (495) 675-70-11;;Восточная, 6 ст1;starosimonovo.ru , starosimonovo.rop.ru;55.711 37.654;church
Храм Святого Благоверного Князя Андрея Боголюбского на Волжском;;+7 (985) 166-98-00, +7 (915) 356-19-56, +7 (926) 566-15-84, +7 (969) 235-10-00;Волгоградский просп., 85, Москва;standrews-hram.moseparh.ru;55.709 37.747;church
Храм Святого Равноапостольного Великого князя Владимира;;+7 (915) 482-02-82;улица Маршала Чуйкова, вл30;hramvladimira.moseparh.ru;55.695 37.759;church
Храм Курской-Коренной иконы Божией Матери;;+7 (916) 077-05-29, +7 (916) 090-08-40;улица Фёдора Полетаева, вл15;курская-коренная.москва;55.709 37.781;church
Храм Покрова Пресвятой Богородицы;;+7 (916) 116-95-40;Самаркандский бульвар, вл25;paisios.ru;55.702 37.824;church
Храм Покрова Пресвятой Богородицы на Люберецких полях;;+7 (980) 011-82-23;проспект Защитников Москвы, вл15а;omofor.com;55.705 37.927;church
Храм Смоленской иконы Божией Матери;+7 (499) 713-75-75;;Давыдковская, вл12;smolenskaya-fili.ru;55.720 37.468;church
Часовня в честь святой равноапостольной Марии Магдалины на Сетуни;;+7 (916) 708-05-00, +7 (915) 112-54-16;2-й Сетуньский пр., вл9, Москва;mariyamagdalina.cerkov.ru;55.731 37.534;church
Церковь Усекновения Главы Иоанна Предтечи у Новодевичьего монастыря;;+7 (916) 114-14-69;площадь Новодевичьего Монастыря, 1;novodev.msk.ru;55.726 37.559;church
Церковь Иосифа Волоцкого при Издательском Совете РПЦ;+7 (495) 545-58-11;;Погодинская, 18/1 ст2;izdatsovet.ru;55.730 37.562;church
Церковь Положения Ризы Господней;+7 (499) 236-24-00, +7 (495) 237-77-65;;Донская ул., 20, Москва;riza1625.ru , donblago.ru;55.720 37.604;church
Храм Живоначальной Троицы на Шаболовке;+7 (499) 236-87-02, +7 (499) 236-30-02;;Шаболовка, 21 ст1;hram-na-shabolovke.ru;55.723 37.611;church
Храм Казанской иконы Божией Матери на Калужской площади;+7 (495) 667-06-80;+7 (916) 512-11-28;Житная ул., 18, Москва;zhitnaya-hram.ru;55.731 37.613;church
Храм Вознесения Господня за Серпуховскими воротами;+7 (499) 236-81-27, +7 (499) 236-60-60;;Большая Серпуховская улица, 24/21а ст1;voznesenie.ru , pobeda.ru;55.726 37.623;church
Церковь Троицы Живоначальной в Кожевниках;+7 (499) 235-17-81;;2-й Кожевнический пер., 6, Москва;hram-kozhevniki.ru , kozhevniki.cerkov.ru;55.727 37.648;church
Святая Апостольская Соборная Ассирийская Церковь Востока;+7 (495) 363-98-78;;Шарикоподшипниковская ул., 14, Москва;acoe.ru;55.719 37.674;church
Церковь Успения Пресвятой Богородицы в Вешняках;+7 (499) 374-50-58;+7 (968) 581-42-15, +7 (905) 533-01-89;ул. Юности, 17, Москва;hram-veshnjaki.ru;55.724 37.798;church
Храм святителя Димитрия, митрополита Ростовского;;+7 (926) 616-04-95;ул. Вострухина, вл9, Москва;svtdimitriy.ru;55.721 37.800;church
Храм Преподобного Серафима Саровского в Кожухово;;+7 (963) 635-40-94, +7 (916) 517-82-94, +7 (968) 671-57-17, +7 (903) 668-41-22;1-й Красковский проезд, 38а;kozhuhovo-hram.ru , kozhukhovo.cerkov.ru;55.716 37.908;church
Церковь святого праведного Иоанна Русского;+7 (499) 149-52-34;+7 (916) 151-56-32;Ярцевская ул., вл1А, Москва;ioannrus.ru;55.735 37.406;church
Храм Великомученика Георгия Победоносца Патриаршее подворье на Поклонной Горе;+7 (499) 148-22-35, +7 (499) 142-08-86;;площадь Победы, 3Б, Москва;altaryvic.ru;55.732 37.512;church
Церковь-часовня Архангела Михаила близ Кутузовской избе;+7 (499) 148-35-35, +7 (499) 148-25-87;;Кутузовский пр., 3, Москва;altaryvic.ru;55.740 37.524;church
Храм Воздвижения Креста Господня на Чистом Вражке;+7 (499) 248-44-36;+7 (999) 857-93-19, +7 (926) 563-15-12;1-й переулок Тружеников, 8;hramkresta.ru;55.739 37.574;church
Храм Спаса Преображения Господня на Песках;+7 (499) 241-14-86, +7 (499) 241-38-69, +7 (499) 241-62-03;+7 (916) 171-33-88;Спасопесковский пер., 4А, Москва;spas-na-peskah.prihod.ru;55.749 37.588;church
Храм Святителя Николая в Хамовниках;+7 (499) 246-27-19, +7 (499) 246-72-08;+7 (925) 910-20-17, +7 (925) 022-75-53;улица Тимура Фрунзе, 1/2 ст1;nikola-khamovniki.ru;55.732 37.591;church
Храм Воскресения Словущего на Арбате, Подворье Иерусалимского Патриархата;+7 (495) 690-57-01;;Филипповский пер., 20, Москва;vosslov.ru;55.750 37.599;church
Храм Святого Пророка Божия Илии;+7 (495) 966-18-56, +7 (499) 766-91-51, +7 (495) 695-28-79;+7 (916) 034-82-93;2-й Обыденский переулок, 6/3 ст1;hram-ostozhenka.ru;55.742 37.604;church
Храм Священномученика Антипы на Колымажном дворе;+7 (495) 691-61-90, +7 (495) 691-61-85;+7 (929) 674-36-09;Колымажный переулок, 8/4 ст1;hramantipa.ru;55.748 37.605;church
Церковь Николая Чудотворца в Старом Ваганькове;+7 (495) 697-22-09;;Староваганьковский пер., 14, Москва;s-nikola.ru;55.750 37.608;church
Церковь Николая Чудотворца на Берсеневке в Верхних Садовниках;+7 (495) 959-08-62, +7 (495) 959-09-30;;Берсеневская набережная, 18-20-22 ст2;bersenevka.info;55.744 37.611;church
Храм Софии Премудрости Божией в Средних Садовниках;+7 (495) 953-64-77, +7 (495) 953-69-73, +7 (495) 951-78-33;+7 (915) 159-91-97, +7 (916) 631-65-38, +7 (963) 771-61-39, +7 (916) 389-00-10, +7 (977) 857-09-49, +7 (926) 535-88-72;Софийская набережная, 32 ст14;hram-sofia.ru;55.748 37.622;church
Церковь Воскресения Христова в Кадашах;+7 (495) 953-13-19, +7 (495) 953-22-91;+7 (926) 212-54-27;2-й Кадашёвский пер., 7, Москва;kadashi.ru , vkadashah.livejournal.com;55.743 37.622;church
Храм Святой Великомученицы Екатерины на Всполье;+7 (495) 959-12-88;+7 (926) 252-73-03;Большая Ордынка, 60/2 ст4;ocapodvorie.org;55.733 37.624;church
Церковь иконы Божией Матери Всех скорбящих Радость на Большой Ордынке;+7 (495) 951-52-20;;ул. Большая Ордынка, 20, стр. 10, Москва;ordynka.com;55.742 37.624;church
Храм Иверской Иконы Божией Матери на Всполье;+7 (495) 959-17-56, +7 (495) 959-17-57;;ул. Большая Ордынка, 39, Москва;vratarnica.ru;55.736 37.625;church
Храм Святителя Николая Мирликийского в Пыжах;+7 (495) 951-37-42;;Большая Ордынка, 27а/8 ст1;vpyzhax.ru;55.739 37.625;church
Церковь Усекновения Главы Иоанна Предтечи под Бором;+7 (495) 721-80-23, +7 (495) 953-88-71;;Черниговский переулок, 4;doctorantura.ru;55.745 37.626;church
Храм Троицы Живоначальной в Вишняках;+7 (495) 951-88-41, +7 (495) 951-61-41;;Пятницкая ул., 51, стр. 4, Москва;nikvkuz.ru , vishnyaky.moseparh.ru;55.736 37.628;church
Церковь Архангела Михаила в Овчинниках;+7 (495) 777-02-53;;Средний Овчинниковский пер., 7, Москва;ovchinniki.ru;55.745 37.633;church
Храм Святителя Николая в Заяицком;;+7 (903) 779-83-47;2-й Раушский переулок, 1/3 к26 ст28;svnikolahram.ru;55.747 37.635;church
Храм Преподобного Симеона Столпника за Яузой;+7 (499) 764-90-54, +7 (495) 915-37-00;;Николоямская улица, 10-12 ст8;simeonstolpnik.moseparh.ru;55.747 37.650;church
Храм Успения Пресвятой Богородицы в Гончарах;+7 (495) 915-62-88;+7 (915) 135-76-37;улица Гончарная, 29/7 ст1;bolgarskoe-podvorie.com;55.742 37.650;church
Храм Святителя Мартина Исповедника в Алексеевской Новой Слободе;+7 (495) 911-75-40;;Александра Солженицына, 15;st-martin.moseparh.ru;55.744 37.660;church
Храм Преподобного Сергия Радонежского в Рогожской Слободе;+7 (495) 912-14-90;;Николоямская ул., 59, Москва;sergyradoneg.ru , sergeyradoneg.com;55.747 37.668;church
Храм Димитрия Донского близ Спасо-Андроникова монастыря;+7 (495) 911-45-02, +7 (495) 671-03-72;;Андроньевская площадь, 10Б;andronikov-monastery.moscow , spaso-andronikovmon.ru;55.749 37.672;church
Храм Святителя Николая Чудотворца арх. Мирликийского;;+7 (966) 320-10-65;Золоторожский Вал улица, 22д;pglef.ru;55.751 37.684;church
Храм Святителя Николая Мирликийского на Рогожском кладбище;;+7 (985) 312-50-58;улица Рогожский Посёлок, 1а/29 ст1;nikolanarogozhke.ru;55.740 37.702;church
Храм Введения во храм Пресвятой Богородицы в Вешняках;;+7 (977) 337-33-31, +7 (977) 502-70-44, +7 (916) 080-99-50, +7 (903) 181-55-00;Кетчерская ул., 2Б, Москва;vvedenie.msk.ru;55.743 37.817;church
Подворье Патриарха Московского и всея Руси при храме Собора новомучеников и исповедников Российских в Новокосино;;+7 (926) 754-25-17;улица Салтыковская, вл39;nmnovokosino.moseparh.ru;55.742 37.880;church
Храм Воскресения Словущего на Ваганьковском Кладбище;+7 (499) 253-87-56, +7 (499) 253-52-47, +7 (499) 255-06-22, +7 (495) 255-06-70;+7 (916) 425-86-98;улица Сергея Макеева, 15 ст1;vagankovo.net;55.768 37.553;church
Церковь Сурб Арутюн;+7 (499) 255-50-19;;улица Сергея Макеева, 10 ст1;armenianchurch.ru;55.766 37.555;church
Храм святителя Николая Мирликийского на Трех горах;+7 (499) 255-05-54;;Нововаганьковский переулок, 9 ст1;hramtrigory.ru;55.759 37.567;church
Приход Непорочного Зачатия Пресвятой Девы Марии Римской-Католической Церкви в г. Москве;+7 (495) 252-40-51, +7 (499) 252-39-11;;Малая Грузинская, 27/13;catedra.ru;55.767 37.572;church
Церковь Рождества Иоанна Предтечи на Пресне;+7 (499) 255-65-72;;Малый Предтеченский пер., 2, Москва;ioannpr.ru;55.759 37.572;church
Храм Александра Невского при Комиссаровском училище;;+7 (963) 771-88-49;Благовещенский переулок, 1а;a-nevsky.moseparh.ru;55.767 37.598;church
